iter	Logloss
0	0.5658240385
1	0.4677005015
2	0.3982109604
3	0.3389612614
4	0.2855014532
5	0.2504530076
6	0.2167543081
7	0.1858183139
8	0.1620439479
9	0.1450981637
10	0.1288190707
11	0.1162596855
12	0.1045553015
13	0.0966301216
14	0.09170864249
15	0.0860259539
16	0.07943176924
17	0.07629152138
18	0.07068609653
19	0.06735640403
20	0.06478256869
21	0.06138254015
22	0.05769710485
23	0.0559756951
24	0.05265789709
25	0.0495682529
26	0.04811536359
27	0.04548495341
28	0.04256214
29	0.04147043161
30	0.03982493838
31	0.03829006474
32	0.03655569809
33	0.03530532324
34	0.03377140106
35	0.03242829135
36	0.0308584929
37	0.03023755091
38	0.02926580017
39	0.02865579403
40	0.02758234789
41	0.0264293254
42	0.0253854084
43	0.02502771974
44	0.0241121429
45	0.02357954177
46	0.02277724143
47	0.02202334855
48	0.02153246563
49	0.020708174
50	0.02009067641
51	0.01970023731
52	0.01920324939
53	0.01874611679
54	0.01779944046
55	0.01743932274
56	0.01700944632
57	0.0167162619
58	0.0160941628
59	0.01559745271
60	0.01537139581
61	0.01492333642
62	0.01452100746
63	0.0141100704
64	0.01387609605
65	0.01337538627
66	0.01325285642
67	0.01314065584
68	0.01281478416
69	0.01261173873
70	0.01224510948
71	0.01193835196
72	0.01191567209
73	0.01168047221
74	0.01132938963
75	0.01127021066
76	0.01125525874
77	0.01123644006
78	0.0111468952
79	0.01083768639
80	0.01057857382
81	0.01055633061
82	0.01046052201
83	0.01023471341
84	0.01000187265
85	0.009885746889
86	0.009771209498
87	0.009585731147
88	0.009341004757
89	0.009317420647
90	0.009241948631
91	0.009073012221
92	0.008905049429
93	0.008894139681
94	0.008894134407
95	0.008683061946
96	0.0086516483
97	0.008604594694
98	0.008588436911
99	0.008474264618
100	0.008419568722
101	0.00838112517
102	0.008204903762
103	0.008052241482
104	0.007900854297
105	0.007894330618
106	0.007794009097
107	0.007588659856
108	0.007462970842
109	0.00734898829
110	0.007345369495
111	0.007165420054
112	0.007123971001
113	0.007080440236
114	0.006963826877
115	0.006799359468
116	0.00677063523
117	0.006770294712
118	0.006744470804
119	0.006678838598
120	0.006561715519
121	0.006481976966
122	0.006474597353
123	0.006382621702
124	0.006375954201
125	0.006230804028
126	0.00622374056
127	0.006118767715
128	0.005971765537
129	0.005861246487
130	0.005855187786
131	0.005849521573
132	0.005839065544
133	0.005658255517
134	0.005658134643
135	0.005657669327
136	0.005569985527
137	0.0055645219
138	0.0055645219
139	0.005556128887
140	0.005523605527
141	0.005455758977
142	0.00545047366
143	0.005450482197
144	0.005441320503
145	0.005383781678
146	0.00530541563
147	0.005278326142
148	0.005278368709
149	0.005278043641
150	0.005278010312
151	0.005269632713
152	0.005212152655
153	0.005129372699
154	0.005037087207
155	0.004956046202
156	0.004951912022
157	0.004938817887
158	0.004938762419
159	0.004938776898
160	0.004931313542
161	0.004908468827
162	0.004870128856
163	0.004870067226
164	0.004867491099
165	0.004860406914
166	0.004860396843
167	0.004853750505
168	0.004853697409
169	0.004853732333
170	0.004850551914
171	0.004850535871
172	0.004850548699
173	0.004787889609
174	0.00472292944
175	0.004660073321
176	0.00459525561
177	0.004538264862
178	0.004538257002
179	0.004538246643
180	0.004524311672
181	0.004468830002
182	0.004465889526
183	0.004465855314
184	0.004440264411
185	0.004394000364
186	0.004393953553
187	0.004393844289
188	0.004387442594
189	0.004383314908
190	0.004349959305
191	0.004349876663
192	0.004325530901
193	0.004325491994
194	0.004319595115
195	0.00431799367
196	0.004317913087
197	0.004238821279
198	0.004238738464
199	0.004162609372
